"ECOZONE","NAME_EN","NAME_FR"
1,"Arctic Cordillera","Cordillère arctique"
2,"Northern Arctic","Haut-Arctique"
3,"Southern Arctic","Bas-Arctique"
4,"Taiga Plains","Taïga des plaines"
5,"Taiga Shield","Taïga du bouclier"
6,"Boreal Shield","Bouclier boréal"
7,"Atlantic Maritime","Maritime de l'Atlantique"
8,"Mixedwood Plains","Plaines à foréts mixtes"
9,"Boreal Plains","Plaines boréales"
10,"Prairies","Prairies"
11,"Taiga Cordillera","Taïga de la Cordillère"
12,"Boreal Cordillera","Cordillère borèale"
13,"Pacific Maritime","Maritime du Pacifique"
14,"Montane Cordillera","Cordillère montagnarde"
15,"Hudson Plains","Plaines Hudsoniennes"
