"File","Path","Size","Modified"
"north_america_simple.gpkg","/Users/jpither/Desktop/EMF_Canada/outdata","2.8 MB",2025-07-17 17:10:00
"tree_ranges_canada.gpkg","/Users/jpither/Desktop/EMF_Canada/outdata","51.5 MB",2025-07-17 17:10:00
"lakes_canada_albers.gpkg","/Users/jpither/Desktop/EMF_Canada/outdata","428 KB",2025-07-17 17:08:00
"_README.md","/Users/jpither/Desktop/EMF_Canada/outdata","14.9 KB",2025-07-17 17:07:00
"canada_ne_albers.gpkg","/Users/jpither/Desktop/EMF_Canada/outdata","280 KB",2025-07-17 17:07:00
"canada_simple.gpkg","/Users/jpither/Desktop/EMF_Canada/outdata","2 MB",2025-07-17 17:07:00
"ecoregions_processed.gpkg","/Users/jpither/Desktop/EMF_Canada/outdata","5.4 MB",2025-07-17 17:07:00
"ecozone_names.csv","/Users/jpither/Desktop/EMF_Canada/outdata","653 B",2025-07-17 17:07:00
"final_analysis_workspace.RData","/Users/jpither/Desktop/EMF_Canada/outdata","66.3 MB",2025-07-17 17:07:00
"session_info.rds","/Users/jpither/Desktop/EMF_Canada/outdata","49.7 KB",2025-07-17 17:05:47.399485
"session_info.csv","/Users/jpither/Desktop/EMF_Canada/outdata","189 B",2025-07-17 17:05:47.391376
"proportion_statistics.csv","/Users/jpither/Desktop/EMF_Canada/outdata","204 B",2025-07-17 17:05:41.106663
"knowledge_gaps_summary.csv","/Users/jpither/Desktop/EMF_Canada/outdata","556 B",2025-07-17 17:05:41.105643
"emf_summary_statistics.csv","/Users/jpither/Desktop/EMF_Canada/outdata","625 B",2025-07-17 17:05:41.104763
"file_inventory.csv","/Users/jpither/Desktop/EMF_Canada/outdata","5.1 KB",2025-07-17 17:05:12.493361
"maps_summary.rds","/Users/jpither/Desktop/EMF_Canada/outdata","66.1 MB",2025-07-17 16:54:39.690015
"metrics_summary.rds","/Users/jpither/Desktop/EMF_Canada/outdata","614 B",2025-07-17 16:54:23.041369
"proportion_stats.rds","/Users/jpither/Desktop/EMF_Canada/outdata","172 B",2025-07-17 16:54:23.040803
"emf_proportion_1deg.tif","/Users/jpither/Desktop/EMF_Canada/outdata","4 KB",2025-07-17 16:54:23.033807
"emf_richness_1deg.tif","/Users/jpither/Desktop/EMF_Canada/outdata","2.3 KB",2025-07-17 16:54:22.957904
"species_richness_1deg.tif","/Users/jpither/Desktop/EMF_Canada/outdata","3.3 KB",2025-07-17 16:54:21.871719
"raster_template_1deg.tif","/Users/jpither/Desktop/EMF_Canada/outdata","2.1 KB",2025-07-17 16:54:19.38341
"sampled_habitat_ecoregions.gpkg","/Users/jpither/Desktop/EMF_Canada/outdata","164 KB",2025-07-17 16:54:19.058669
"ecoregions_with_emf_habitat.gpkg","/Users/jpither/Desktop/EMF_Canada/outdata","4.8 MB",2025-07-17 16:54:18.890966
"fungal_processing_summary.rds","/Users/jpither/Desktop/EMF_Canada/outdata","24.6 KB",2025-07-17 16:54:02.688986
"comprehensive_emf_summary.csv","/Users/jpither/Desktop/EMF_Canada/outdata","254 B",2025-07-17 16:54:02.683787
"comprehensive_emf_analysis.rds","/Users/jpither/Desktop/EMF_Canada/outdata","24.2 KB",2025-07-17 16:54:02.682479
"hosts_per_emf_taxon_species.csv","/Users/jpither/Desktop/EMF_Canada/outdata","12.1 KB",2025-07-17 16:54:02.677671
"emf_taxa_per_host_species.csv","/Users/jpither/Desktop/EMF_Canada/outdata","454 B",2025-07-17 16:54:02.676621
"hosts_per_emf_taxon_genus.csv","/Users/jpither/Desktop/EMF_Canada/outdata","1.7 KB",2025-07-17 16:54:02.643372
"emf_taxa_per_host_genus.csv","/Users/jpither/Desktop/EMF_Canada/outdata","451 B",2025-07-17 16:54:02.642731
"hosts_per_emf_taxon_unite_id.csv","/Users/jpither/Desktop/EMF_Canada/outdata","4.3 KB",2025-07-17 16:54:02.61958
"emf_taxa_per_host_unite_id.csv","/Users/jpither/Desktop/EMF_Canada/outdata","407 B",2025-07-17 16:54:02.61855
"hosts_per_emf_taxon_other_id.csv","/Users/jpither/Desktop/EMF_Canada/outdata","12.1 KB",2025-07-17 16:54:02.593751
"emf_taxa_per_host_other_id.csv","/Users/jpither/Desktop/EMF_Canada/outdata","454 B",2025-07-17 16:54:02.592546
"host_taxon_matrix_species.csv","/Users/jpither/Desktop/EMF_Canada/outdata","25.4 KB",2025-07-17 16:54:02.539954
"host_taxon_matrix_genus.csv","/Users/jpither/Desktop/EMF_Canada/outdata","4.5 KB",2025-07-17 16:54:02.515369
"host_taxon_matrix_unite_id.csv","/Users/jpither/Desktop/EMF_Canada/outdata","9.7 KB",2025-07-17 16:54:02.500567
"host_taxon_matrix_other_id.csv","/Users/jpither/Desktop/EMF_Canada/outdata","32.8 KB",2025-07-17 16:54:02.48428
"locations_per_species.csv","/Users/jpither/Desktop/EMF_Canada/outdata","21.1 KB",2025-07-17 16:54:02.391003
"locations_per_genus.csv","/Users/jpither/Desktop/EMF_Canada/outdata","2.5 KB",2025-07-17 16:54:02.389507
"locations_per_unite_id.csv","/Users/jpither/Desktop/EMF_Canada/outdata","5.3 KB",2025-07-17 16:54:02.388774
"locations_per_other_id.csv","/Users/jpither/Desktop/EMF_Canada/outdata","16.6 KB",2025-07-17 16:54:02.387795
"basic_emf_stats.csv","/Users/jpither/Desktop/EMF_Canada/outdata","320 B",2025-07-17 16:54:01.500232
"basic_emf_stats.rds","/Users/jpither/Desktop/EMF_Canada/outdata","281 B",2025-07-17 16:54:01.498838
"emf_samples_aggregated_1000m.gpkg","/Users/jpither/Desktop/EMF_Canada/outdata","136 KB",2025-07-17 16:54:00.524706
"emf_samples_canada.gpkg","/Users/jpither/Desktop/EMF_Canada/outdata","2.7 MB",2025-07-17 16:53:55.587981
"emf_host_tree_ranges.gpkg","/Users/jpither/Desktop/EMF_Canada/outdata","31.7 MB",2025-07-17 16:53:50.696877
"spatial_processing_summary.rds","/Users/jpither/Desktop/EMF_Canada/outdata","323 B",2025-07-17 16:53:40.413314
