"Plant_Species","SH1792104.10FU","SH1809527.10FU","SH1809560.10FU","SH1809608.10FU","SH1877366.10FU","SH1933790.10FU","SH1305079.10FU","SH1826373.10FU","SH1886989.10FU","SH1943571.10FU","SH1943570.10FU","SH1944423.10FU","SH1886619.10FU","SH1888304.10FU","SH1886671.10FU","SH1888447.10FU","SH1942389.10FU","SH1942253.10FU","SH1944074.10FU","SH1944183.10FU","SH1944577.10FU","SH1753350.10FU","SH1887105.10FU","SH1887166.10FU","SH1888163.10FU","SH1887729.10FU","SH1886808.10FU","SH1887771.10FU","SH1944601.10FU","SH1888243.10FU","SH1887374.10FU","SH1943752.10FU","SH1944187.10FU","SH1887031.10FU","SH1943302.10FU","SH1944025.10FU","SH1886724.10FU","SH1887089.10FU","SH1945147.10FU","SH1621055.10FU","SH1903628.10FU","SH1750100.10FU","SH1750106.10FU","SH1729945.10FU","SH1641728.10FU","SH1796741.10FU","SH1854987.10FU","SH1707580.10FU","SH1781334.10FU","SH1707575.10FU","SH1658382.10FU","SH1677527.10FU","SH1677558.10FU","SH1763104.10FU","SH1868117.10FU","SH1867951.10FU","SH1840416.10FU","SH1840306.10FU","SH1840527.10FU","SH1730772.10FU","SH1810310.10FU","SH1594396.10FU","SH1817579.10FU","SH1818063.10FU","SH1954448.10FU","SH1954072.10FU","SH1954547.10FU","SH1756880.10FU","SH1703666.10FU","SH1897494.10FU","SH1776888.10FU","SH1823844.10FU","SH1488028.10FU","SH1832942.10FU","SH1832852.10FU","SH1832241.10FU","SH1872094.10FU","SH1832827.10FU","SH1833224.10FU","SH1811602.10FU","SH1811356.10FU","SH1832884.10FU","SH1793234.10FU","SH1676510.10FU","SH1634069.10FU","SH1944141.10FU","SH1943417.10FU","SH1942788.10FU","SH1767591.10FU","SH1796923.10FU","SH1474922.10FU","SH1474917.10FU","SH1505224.10FU","SH1505333.10FU","SH1505171.10FU","SH1613182.10FU","SH1613257.10FU","SH1156627.09FU","SH1155880.09FU","SH0953995.09FU","SH0954115.09FU","SH1290519.09FU","SH1553671.08FU","SH1553577.08FU","SH1558432.08FU","SH1558459.08FU","SH1648320.08FU","SH1648326.08FU","SH1548941.08FU","SH1523753.08FU","SH1545862.08FU","SH1546161.08FU","SH1546073.08FU","SH1151538.09FU","SH1151511.09FU","SH1503717.08FU","SH0979916.09FU","SH1249237.09FU","SH1268211.09FU","SH1563787.08FU","SH1162932.09FU","SH1563931.08FU","SH1563836.08FU","SH1563805.08FU","SH1563810.08FU","SH1306289.09FU","SH0990396.09FU","SH1277360.09FU","SH1162034.09FU","SH1086412.09FU","SH1162041.09FU","SH0979336.09FU","SH1307897.09FU","SH1309545.09FU","SH0898491.09FU","SH1022116.09FU","SH1307901.09FU","SH1563785.08FU","SH0950239.09FU","SH1209068.09FU","SH1174128.09FU","SH1553005.08FU","SH0982420.09FU","SH1519114.08FU","SH1544240.08FU","SH1241185.09FU","SH1125869.09FU","SH1125872.09FU","SH1179243.09FU","SH1265005.09FU","SH1193818.09FU","SH1067874.09FU","SH1144148.09FU","SH1144145.09FU","SH1144144.09FU","SH1219593.09FU","SH1231950.09FU","SH1295836.09FU","SH1297014.09FU","SH1295778.09FU","SH1310422.09FU","SH1296546.09FU","SH1296982.09FU","SH1310412.09FU","SH1316110.09FU","SH1297006.09FU","SH1310349.09FU","SH1296616.09FU","SH1193627.09FU","SH1239877.09FU","SH1132005.09FU","SH1138802.09FU","SH0925153.09FU","SH1138985.09FU","SH0925248.09FU","SH1177638.09FU","SH0924039.09FU","SH0924970.09FU","SH1141076.09FU","SH1155050.09FU","SH1141400.09FU","SH1157000.09FU","SH1141300.09FU","SH0927044.09FU","SH1502195.08FU","SH0924676.09FU","SH1140128.09FU","SH0924451.09FU","SH1141960.09FU","SH1141298.09FU","SH0925012.09FU","SH0927222.09FU","SH0923533.09FU","SH1157011.09FU","SH1528404.08FU","SH1139505.09FU","SH1157755.09FU","SH1156764.09FU","SH1557661.08FU","SH1557658.08FU","SH0885836.09FU","SH1224376.09FU","SH1563526.08FU","SH0926673.09FU","SH1571570.08FU","SH1571571.08FU"
"Picea_engelmannii",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dryas_integrifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Pinus_banksiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Populus_tremuloides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Quercus_garryana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudotsuga_menziesii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1
"Picea_glauca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Pinus_albicaulis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Pinus_contorta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Tsuga_heterophylla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
