"emf_taxon","unique_hosts","total_records"
"Tomentella",15,206
"Inocybe",13,202
"Cortinarius",12,648
"Sebacina",11,71
"Meliniomyces",10,101
"Thelephora",10,43
"Laccaria",9,31
"Lactarius",9,92
"Russula",9,131
"Hebeloma",8,58
"Piloderma",8,273
"Tricholoma",8,36
"Tylospora",8,64
"Polyozellus",7,12
"Rhizopogon",7,71
"Trichophaea",7,33
"Tuber",7,24
"Amphinema",6,28
"Hygrophorus",6,22
"Peziza",6,16
"Sistotrema",6,21
"Tomentellopsis",6,8
"Abrothallus",5,12
"Geopora",5,12
"Hydnum",5,5
"Acarospora",4,17
"Cadophora",4,5
"Clavulina",4,25
"Hyaloscypha",4,14
"Suillus",4,88
"Amanita",3,12
"Chalciporus",3,3
"Elaphomyces",3,7
"Entoloma",3,6
"Gyromitra",3,4
"Helvella",3,4
"Lyophyllum",3,3
"Mycena",3,10
"Phellodon",3,4
"Pseudotomentella",3,5
"Sarcodon",3,4
"Albatrellus",2,4
"Aureobasidium",2,3
"Bulgaria",2,69
"Craterellus",2,121
"Fibulomyces",2,2
"Ganoderma",2,4
"Gautieria",2,3
"Gomphidius",2,2
"Hydnotrya",2,2
"Hymenogaster",2,17
"Lachnum",2,2
"Leccinum",2,3
"Pachyphlodes",2,2
"Ramaria",2,2
"Tulasnella",2,3
"Aleuria",1,1
"Arxiella",1,1
"Atrozythia",1,3
"Balsamia",1,1
"Boletus",1,1
"Brunnipila",1,1
"Byssoporia",1,2
"Ceratobasidium",1,2
"Chroogomphus",1,2
"Clavariadelphus",1,1
"Clavulicium",1,3
"Dematioscypha",1,1
"Endogone",1,12
"Galerina",1,1
"Gloeomyces",1,1
"Helvellosebacina",1,1
"Humaria",1,2
"Hydnellum",1,10
"Hymenoscyphus",1,1
"Hysterangium",1,1
"Kuehneromyces",1,2
"Lecanora",1,1
"Mallocybe",1,2
"Melanogaster",1,1
"Membranomyces",1,1
"Naucoria",1,1
"Ochrolechia",1,1
"Odontia",1,1
"Otidea",1,1
"Paxillus",1,1
"Pyrenopeziza",1,1
"Ramalina",1,1
"Rhodotarzetta",1,1
"Scleroderma",1,2
"Sphaerosporella",1,1
"Sphaerostilbella",1,1
"Thaxterogaster",1,3
"Tretomyces",1,1
"Xerocomellus",1,1
