"emf_taxon","unique_hosts","total_records"
"UDB026053",7,15
"UDB023537",6,13
"UDB034984",6,50
"UDB026347",5,8
"UDB026396",5,10
"UDB0754284",5,13
"UDB002161",4,12
"UDB003359",4,9
"UDB008307",4,80
"UDB01004650",4,9
"UDB018822",4,5
"UDB028187",4,13
"UDB0777992",4,13
"UDB0780173",4,13
"UDB0780201",4,5
"UDB000067",3,5
"UDB001230",3,11
"UDB001543",3,5
"UDB001726",3,5
"UDB001746",3,4
"UDB001750",3,9
"UDB001751",3,34
"UDB002468",3,13
"UDB004960",3,9
"UDB008314",3,12
"UDB01004606",3,7
"UDB011269",3,30
"UDB011602",3,7
"UDB014116",3,5
"UDB014255",3,4
"UDB016153",3,6
"UDB016188",3,3
"UDB016354",3,9
"UDB016384",3,12
"UDB016389",3,8
"UDB016419",3,6
"UDB016431",3,3
"UDB016491",3,4
"UDB017670",3,16
"UDB017843",3,6
"UDB018564",3,8
"UDB019904",3,31
"UDB024682",3,16
"UDB024825",3,37
"UDB024946",3,4
"UDB025459",3,3
"UDB025540",3,3
"UDB025599",3,11
"UDB025636",3,5
"UDB026397",3,5
"UDB027474",3,7
"UDB028259",3,45
"UDB028476",3,3
"UDB031144",3,18
"UDB031407",3,10
"UDB031979",3,8
"UDB035645",3,5
"UDB036435",3,6
"UDB039487",3,4
"UDB039507",3,3
"UDB0754291",3,15
"UDB07672213",3,17
"UDB07672226",3,6
"UDB0780171",3,3
"UDB0798946",3,6
"UDB0799606",3,3
"UDB0799614",3,7
"UDB0802033",3,10
"UDB0802084",3,8
"UDB0802204",3,12
"UDB000014",2,2
"UDB000034",2,8
"UDB000092",2,2
"UDB000095",2,2
"UDB000616",2,8
"UDB001046",2,10
"UDB001231",2,2
"UDB001619",2,8
"UDB001733",2,6
"UDB001749",2,3
"UDB001771",2,6
"UDB003074",2,2
"UDB003309",2,2
"UDB003327",2,2
"UDB008244",2,7
"UDB01004431",2,4
"UDB01004594",2,4
"UDB01004595",2,2
"UDB01004651",2,3
"UDB01004653",2,3
"UDB01088328",2,2
"UDB01088378",2,23
"UDB011263",2,21
"UDB013477",2,3
"UDB014115",2,2
"UDB014977",2,2
"UDB015052",2,6
"UDB015695",2,3
"UDB015996",2,2
"UDB016067",2,5
"UDB016370",2,3
"UDB016439",2,2
"UDB016610",2,6
"UDB016650",2,6
"UDB017798",2,2
"UDB017891",2,2
"UDB018279",2,3
"UDB018554",2,2
"UDB018630",2,4
"UDB018662",2,2
"UDB018818",2,51
"UDB018821",2,2
"UDB019510",2,3
"UDB019894",2,2
"UDB021486",2,5
"UDB021562",2,2
"UDB022972",2,3
"UDB023484",2,4
"UDB023538",2,2
"UDB024025",2,2
"UDB024045",2,2
"UDB024071",2,2
"UDB024236",2,2
"UDB024369",2,2
"UDB024826",2,3
"UDB024853",2,3
"UDB024867",2,2
"UDB024871",2,2
"UDB024884",2,10
"UDB024889",2,5
"UDB024897",2,4
"UDB024929",2,4
"UDB024951",2,2
"UDB024963",2,5
"UDB024994",2,2
"UDB025037",2,3
"UDB025161",2,3
"UDB025282",2,5
"UDB025335",2,3
"UDB025340",2,3
"UDB025496",2,2
"UDB025613",2,2
"UDB027703",2,68
"UDB027787",2,2
"UDB027877",2,5
"UDB027932",2,2
"UDB027969",2,10
"UDB028068",2,2
"UDB028100",2,4
"UDB028140",2,3
"UDB028348",2,14
"UDB031040",2,121
"UDB031433",2,6
"UDB031474",2,6
"UDB033036",2,2
"UDB035682",2,2
"UDB036105",2,8
"UDB036203",2,4
"UDB036518",2,2
"UDB037153",2,3
"UDB037494",2,15
"UDB037606",2,8
"UDB038236",2,3
"UDB038237",2,5
"UDB038349",2,3
"UDB039491",2,3
"UDB039506",2,2
"UDB039508",2,21
"UDB0746165",2,5
"UDB0754276",2,3
"UDB0754292",2,6
"UDB07672112",2,2
"UDB07672197",2,3
"UDB07672339",2,2
"UDB0778054",2,5
"UDB0778257",2,6
"UDB0778274",2,8
"UDB0778573",2,5
"UDB0799317",2,3
"UDB0799335",2,14
"UDB0799570",2,8
"UDB0799621",2,2
"UDB0799622",2,7
"UDB0802103",2,3
"UDB0802294",2,3
"UDB0802382",2,3
"UDB000029",1,1
"UDB000091",1,1
"UDB000106",1,7
"UDB000121",1,1
"UDB000123",1,1
"UDB000263",1,1
"UDB000264",1,1
"UDB000281",1,1
"UDB000282",1,1
"UDB000300",1,1
"UDB000337",1,1
"UDB000678",1,1
"UDB000741",1,1
"UDB000749",1,1
"UDB000773",1,3
"UDB000774",1,1
"UDB000961",1,1
"UDB000975",1,1
"UDB001011",1,1
"UDB001035",1,1
"UDB001078",1,1
"UDB001085",1,1
"UDB001169",1,1
"UDB001170",1,1
"UDB001184",1,1
"UDB001214",1,1
"UDB001309",1,2
"UDB001317",1,2
"UDB001318",1,1
"UDB001331",1,1
"UDB001453",1,1
"UDB001460",1,1
