"emf_taxon","unique_hosts","total_records"
"Tomentella",13,119
"Meliniomyces",10,101
"Cortinarius_decipiens",9,62
"Sebacina",9,33
"Cortinarius",8,105
"Sebacina_dimitica",8,29
"Thelephora_terrestris",8,24
"Tylospora_asterophora",8,40
"Piloderma_sphaerosporum",7,55
"Tomentella_cinereoumbrina",7,12
"Tuber",7,19
"Amphinema",6,28
"Piloderma",6,145
"Rhizopogon",6,62
"Thelephora",6,10
"Tomentella_fuscocinerea",6,13
"Tylospora_fibrillosa",6,24
"Abrothallus_suecicus",5,12
"Cortinarius_diasemospermus",5,23
"Inocybe_lacera",5,34
"Piloderma_bicolor",5,16
"Polyozellus_umbrinus",5,6
"Trichophaea",5,12
"Trichophaea_hybrida",5,21
"Acarospora_moenium",4,13
"Clavulina",4,25
"Cortinarius_croceus",4,9
"Cortinarius_fulvescens",4,16
"Cortinarius_parvannulatus",4,9
"Cortinarius_semisanguineus",4,41
"Hyaloscypha_variabilis",4,13
"Inocybe_pipilikae",4,9
"Laccaria_nobilis",4,5
"Lactarius",4,6
"Peziza_badia",4,5
"Russula",4,9
"Sistotrema",4,8
"Tomentella_cinerascens",4,4
"Tricholoma_vaccinum",4,13
"Chalciporus_piperatus",3,3
"Cortinarius_acetosus",3,6
"Cortinarius_alboviolaceus",3,7
"Cortinarius_armeniacus",3,3
"Cortinarius_chrysolitus",3,4
"Cortinarius_cruentiphyllus",3,3
"Cortinarius_desertorum",3,11
"Cortinarius_nitens",3,3
"Cortinarius_ochrophyllus",3,18
"Cortinarius_paragaudis",3,11
"Cortinarius_pluvius",3,4
"Cortinarius_privignatus",3,7
"Cortinarius_vernus",3,4
"Hebeloma_leucosarx",3,6
"Hebeloma_mesophaeum",3,22
"Inocybe",3,12
"Inocybe_nitidiuscula",3,12
"Inocybe_rufoalba",3,3
"Inocybe_xanthomelas",3,10
"Laccaria_proxima",3,8
"Lactarius_rufus",3,31
"Peziza",3,3
"Peziza_ostracoderma",3,5
"Piloderma_byssinum",3,7
"Piloderma_olivaceum",3,46
"Pseudotomentella",3,4
"Russula_adusta",3,5
"Russula_aeruginea",3,3
"Russula_emetica",3,3
"Russula_paludosa",3,4
"Russula_sapinea",3,3
"Russula_turci",3,3
"Sebacina_epigaea",3,7
"Sistotrema_muscicola",3,5
"Suillus_luteus",3,29
"Tomentella_clavigera",3,8
"Tomentella_coerulea",3,5
"Tomentella_lapida",3,4
"Tomentella_lateritia",3,3
"Tomentella_subclavigera",3,8
"Tomentellopsis_echinospora",3,3
"Tomentellopsis_submollis",3,3
"Tricholoma_saponaceum",3,4
"Aureobasidium_pullulans",2,3
"Bulgaria_inquinans",2,69
"Cadophora",2,2
"Cadophora luteo_olivacea",2,2
"Cortinarius_anisatus",2,3
"Cortinarius_anomalus",2,4
"Cortinarius_biformis",2,3
"Cortinarius_caperatus",2,5
"Cortinarius_carabus",2,2
"Cortinarius_casimiri",2,4
"Cortinarius_clandestinus",2,3
"Cortinarius_clarobrunneus",2,3
"Cortinarius_collinitus",2,5
"Cortinarius_comptulus",2,3
"Cortinarius_delibutus",2,9
"Cortinarius_dolabratus",2,2
"Cortinarius_flexipes",2,2
"Cortinarius_gentilis",2,2
"Cortinarius_helobius",2,6
"Cortinarius_hemitrichus",2,3
"Cortinarius_imbutus",2,2
"Cortinarius_laetus",2,10
"Cortinarius_malachius",2,2
"Cortinarius_malicorius",2,69
