"emf_taxon","unique_hosts","total_records"
"SH1132005.09FU",8,22
"SH1310349.09FU",5,8
"SH1571570.08FU",5,17
"SH0924970.09FU",4,8
"SH1067874.09FU",4,6
"SH1563787.08FU",4,26
"SH1571571.08FU",4,9
"SH1648320.08FU",4,5
"SH1140128.09FU",3,3
"SH1155880.09FU",3,4
"SH1156627.09FU",3,13
"SH1557661.08FU",3,4
"SH0885836.09FU",2,4
"SH0924451.09FU",2,4
"SH0925012.09FU",2,2
"SH0925248.09FU",2,3
"SH0926673.09FU",2,3
"SH0982420.09FU",2,2
"SH1138802.09FU",2,4
"SH1138985.09FU",2,3
"SH1141076.09FU",2,3
"SH1157755.09FU",2,4
"SH1193818.09FU",2,2
"SH1219593.09FU",2,2
"SH1249237.09FU",2,4
"SH1295778.09FU",2,2
"SH1295836.09FU",2,4
"SH1296546.09FU",2,2
"SH1296616.09FU",2,6
"SH1297014.09FU",2,3
"SH1523753.08FU",2,2
"SH1544240.08FU",2,5
"SH1553005.08FU",2,2
"SH1648326.08FU",2,2
"SH0898491.09FU",1,1
"SH0923533.09FU",1,1
"SH0924039.09FU",1,2
"SH0924676.09FU",1,1
"SH0925153.09FU",1,1
"SH0927044.09FU",1,2
"SH0927222.09FU",1,1
"SH0950239.09FU",1,1
"SH0953995.09FU",1,1
"SH0954115.09FU",1,1
"SH0979336.09FU",1,1
"SH0979916.09FU",1,1
"SH0990396.09FU",1,1
"SH1022116.09FU",1,4
"SH1086412.09FU",1,1
"SH1125869.09FU",1,1
"SH1125872.09FU",1,1
"SH1139505.09FU",1,1
"SH1141298.09FU",1,1
"SH1141300.09FU",1,1
"SH1141400.09FU",1,1
"SH1141960.09FU",1,1
"SH1144144.09FU",1,1
"SH1144145.09FU",1,1
"SH1144148.09FU",1,1
"SH1151511.09FU",1,22
"SH1151538.09FU",1,2
"SH1155050.09FU",1,1
"SH1156764.09FU",1,1
"SH1157000.09FU",1,1
"SH1157011.09FU",1,1
"SH1162034.09FU",1,2
"SH1162041.09FU",1,2
"SH1162932.09FU",1,1
"SH1174128.09FU",1,1
"SH1177638.09FU",1,2
"SH1179243.09FU",1,1
"SH1193627.09FU",1,1
"SH1209068.09FU",1,1
"SH1224376.09FU",1,1
"SH1231950.09FU",1,1
"SH1239877.09FU",1,1
"SH1241185.09FU",1,2
"SH1265005.09FU",1,1
"SH1268211.09FU",1,1
"SH1277360.09FU",1,1
"SH1290519.09FU",1,1
"SH1296982.09FU",1,2
"SH1297006.09FU",1,1
"SH1305079.10FU",1,1
"SH1306289.09FU",1,1
"SH1307897.09FU",1,3
"SH1307901.09FU",1,4
"SH1309545.09FU",1,1
"SH1310412.09FU",1,1
"SH1310422.09FU",1,1
"SH1316110.09FU",1,1
"SH1474917.10FU",1,1
"SH1474922.10FU",1,1
"SH1488028.10FU",1,1
"SH1502195.08FU",1,1
"SH1503717.08FU",1,6
"SH1505171.10FU",1,1
"SH1505224.10FU",1,1
"SH1505333.10FU",1,4
