"taxon","unique_locations","total_records"
"Cortinarius",196,1708
"Tomentella",105,359
"Lachnum",96,115
"Tricholoma",94,251
"Inocybe",88,420
"Russula",81,361
"Mycena",80,187
"Hebeloma",63,164
"Cenococcum",60,60
"Peziza",58,72
"Tylospora",55,120
"Suillus",54,172
"Hygrophorus",52,134
"Meliniomyces",51,162
"Geopyxis",50,51
"Lactarius",50,202
"Entoloma",43,62
"Sebacina",41,94
"Galerina",38,57
"Thelephora",36,70
"Piloderma",34,337
"Tuber",34,51
"Tomentellopsis",31,32
"Sistotrema",30,49
"Geopora",27,32
"Rhizopogon",27,99
"Phellodon",26,37
"Pseudotomentella",26,30
"Amphinema",25,62
"Resinicium",25,25
"Clavulina",24,52
"Gyromitra",24,28
"Alternaria",23,23
"Leccinum",23,35
"Trichophaea",22,48
"Botryobasidium",20,31
"Amanita",19,34
"Lyophyllum",17,19
"Laccaria",16,40
"Serpula",16,16
"Coniophora",15,16
"Paecilomyces",15,15
"Helvella",14,16
"Hydnellum",14,28
"Hydnum",13,15
"Sphaerobolus",13,13
"Myxomphalia",12,12
"Otidea",12,17
"Polyozellus",12,17
"Ramaria",12,13
"Scutellinia",12,12
"Athelia",11,12
"Byssoporia",11,12
"Abrothallus",10,95
"Albatrellus",10,12
"Hyaloscypha",10,20
"Kuehneromyces",10,11
"Boletopsis",9,9
"Clitocybe",9,13
"Cystoderma",9,11
"Chalciporus",8,8
"Gomphidius",8,8
"Tylopilus",8,8
"Acarospora",7,19
"Clavariadelphus",7,7
"Fibulomyces",7,9
"Gautieria",7,7
"Imleria",7,7
"Sarcodon",7,8
"Cadophora",6,7
"Helvellosebacina",6,6
"Peniophora",6,6
"Scytinostromella",6,6
"Aleuria",5,5
"Cladonia",5,5
"Hygrophoropsis",5,5
"Leptosporomyces",5,5
"Odontia",5,5
"Rhodotarzetta",5,5
"Scleroderma",5,6
"Boletus",4,4
"Chroogomphus",4,5
"Clavulicium",4,4
"Elaphomyces",4,8
"Ganoderma",4,6
"Hysterangium",4,4
"Naucoria",4,4
"Tulasnella",4,4
"Aureobasidium",3,4
"Catathelasma",3,3
"Ceratobasidium",3,3
"Conocybe",3,3
"Craterellus",3,122
"Hymenogaster",3,18
"Sphaerosporella",3,3
"Tretomyces",3,3
"Agrocybe",2,2
"Balsamia",2,2
"Brunnipila",2,4
"Bulgaria",2,69
"Dematioscypha",2,2
"Endogone",2,14
"Genabea",2,2
"Hydnotrya",2,2
"Hymenoscyphus",2,3
"Melanogaster",2,2
"Pachyphlodes",2,2
"Paxillus",2,2
"Phaeoclavulina",2,2
"Ramalina",2,2
"Xanthoporia",2,5
"Xerocomus",2,2
"Alnicola",1,1
"Arxiella",1,1
"Atrozythia",1,3
"Calocera",1,2
"Coltricia",1,1
"Coprinus",1,1
"Entocybe",1,1
"Exophiala",1,1
"Gloeomyces",1,1
"Gonytrichum",1,1
"Gyroporus",1,1
"Humaria",1,2
"Lecanora",1,1
"Mallocybe",1,2
"Membranomyces",1,1
"Ochrolechia",1,1
"Phaeomollisia",1,1
"Pisolithus",1,1
"Pseudotryblidium",1,6
"Pulvinula",1,1
"Pyrenopeziza",1,2
"Radulomyces",1,1
"Sphaerostilbella",1,1
"Thaxterogaster",1,3
"Tremelloscypha",1,1
"Vexillomyces",1,49
"Xerocomellus",1,1
