"taxon","unique_locations","total_records"
"UDB0780173",11,19
"UDB027969",10,16
"UDB018564",9,17
"UDB034984",9,54
"UDB0754284",9,16
"UDB001746",8,16
"UDB004960",8,9
"UDB016650",8,8
"UDB023537",8,16
"UDB026053",8,17
"UDB0778257",8,11
"UDB001726",7,8
"UDB008314",7,17
"UDB01004606",7,12
"UDB024825",7,42
"UDB026347",7,17
"UDB028348",7,14
"UDB037494",7,16
"UDB0777992",7,15
"UDB001751",6,37
"UDB001771",6,7
"UDB003359",6,11
"UDB014255",6,6
"UDB017843",6,6
"UDB018822",6,8
"UDB024872",6,7
"UDB025282",6,6
"UDB026396",6,15
"UDB026397",6,11
"UDB031433",6,10
"UDB036105",6,8
"UDB07672226",6,6
"UDB0802033",6,13
"UDB001614",5,7
"UDB01004594",5,6
"UDB01088378",5,26
"UDB011297",5,10
"UDB011602",5,7
"UDB015332",5,5
"UDB016354",5,10
"UDB016389",5,10
"UDB018356",5,6
"UDB019904",5,31
"UDB025157",5,5
"UDB025599",5,15
"UDB027932",5,7
"UDB028476",5,5
"UDB031012",5,5
"UDB031979",5,10
"UDB035645",5,8
"UDB07672213",5,18
"UDB0780171",5,5
"UDB001543",4,6
"UDB001733",4,10
"UDB001744",4,5
"UDB001750",4,9
"UDB002161",4,12
"UDB002468",4,19
"UDB003327",4,4
"UDB008307",4,80
"UDB01004650",4,9
"UDB011269",4,31
"UDB011301",4,7
"UDB013477",4,6
"UDB015052",4,9
"UDB016067",4,5
"UDB016188",4,4
"UDB016308",4,4
"UDB016384",4,13
"UDB016419",4,6
"UDB018279",4,4
"UDB018818",4,51
"UDB021486",4,8
"UDB023484",4,6
"UDB024682",4,17
"UDB024897",4,5
"UDB024908",4,4
"UDB024946",4,4
"UDB024962",4,4
"UDB025459",4,4
"UDB025636",4,6
"UDB027474",4,8
"UDB028140",4,4
"UDB028187",4,13
"UDB028259",4,46
"UDB031002",4,4
"UDB031144",4,18
"UDB036962",4,13
"UDB037606",4,8
"UDB038349",4,4
"UDB039487",4,4
"UDB039508",4,21
"UDB0754276",4,4
"UDB0778054",4,6
"UDB0778573",4,5
"UDB0780201",4,5
"UDB0799317",4,4
"UDB0799614",4,8
"UDB0802204",4,13
"UDB000067",3,5
"UDB000092",3,3
"UDB001058",3,3
"UDB001230",3,11
"UDB001231",3,3
"UDB001653",3,5
"UDB001749",3,4
"UDB002253",3,3
"UDB003309",3,3
"UDB003325",3,3
"UDB008250",3,3
"UDB008302",3,6
"UDB01004595",3,3
"UDB01088320",3,21
"UDB011637",3,3
"UDB014115",3,3
"UDB014116",3,5
"UDB014143",3,11
"UDB015385",3,18
"UDB016153",3,6
"UDB016392",3,5
"UDB016431",3,3
"UDB016491",3,4
"UDB016610",3,7
"UDB017026",3,3
"UDB017670",3,16
"UDB018484",3,4
"UDB018630",3,4
"UDB019771",3,3
"UDB021562",3,3
"UDB023587",3,3
"UDB024369",3,3
"UDB024820",3,5
"UDB024826",3,4
"UDB024855",3,3
"UDB024884",3,10
"UDB024911",3,3
"UDB024915",3,3
"UDB024918",3,3
"UDB024919",3,3
"UDB024951",3,3
"UDB025540",3,3
"UDB027787",3,3
"UDB028100",3,4
"UDB031005",3,3
"UDB031027",3,3
"UDB031028",3,3
"UDB031407",3,10
"UDB031474",3,6
"UDB031532",3,3
"UDB032580",3,4
"UDB035682",3,3
"UDB036435",3,6
"UDB036518",3,3
