"taxon","unique_locations","total_records"
"Lachnum_virgineum",94,94
"Cenococcum_geophilum",60,60
"Cortinarius_decipiens",56,106
"Tylospora_asterophora",54,89
"Cortinarius_croceus",52,56
"Geopyxis_carbonaria",50,51
"Tomentella_stuposa",48,52
"Tomentella",42,154
"Cortinarius_casimiri",36,70
"Mycena_aetites",35,35
"Meliniomyces_variabilis",34,35
"Cortinarius_comptulus",32,33
"Cortinarius_biformis",31,32
"Tricholoma_vaccinum",31,39
"Cortinarius_armeniacus",29,33
"Hygrophorus_agathosmus",29,29
"Mycena_leptocephala",29,30
"Cortinarius_mucosus",27,27
"Suillus_variegatus",27,55
"Tricholoma_saponaceum",27,28
"Cortinarius",26,119
"Entoloma_sericeum",26,26
"Hebeloma_leucosarx",26,28
"Tomentellopsis_echinospora",26,26
"Cortinarius_obtusus",25,25
"Lactarius_rufus",25,54
"Peziza_subviolacea",25,25
"Resinicium_bicolor",25,25
"Cortinarius_diasemospermus",24,42
"Mycena_olivaceomarginata",24,24
"Hebeloma_pseudofragilipes",23,23
"Mycena_metata",23,23
"Alternaria_infectoria",22,22
"Cortinarius_cinnamomeus",22,22
"Peziza_ammophila",22,22
"Amphinema",21,58
"Cortinarius_gentilis",21,22
"Cortinarius_saniosus",21,21
"Sebacina",21,39
"Geopora_cooperi",20,20
"Hygrophorus_pustulatus",20,20
"Cortinarius_imbutus",19,19
"Gyromitra_esculenta",19,19
"Inocybe_sororia",19,19
"Piloderma",19,165
"Russula_aeruginea",19,19
"Russula_nigricans",19,20
"Tomentella_lilacinogrisea",19,19
"Lachnum_impudicum",18,21
"Tricholoma_albobrunneum",18,18
"Tricholoma_focale",18,18
"Tuber",18,30
"Cortinarius_privignipallens",17,18
"Meliniomyces",17,127
"Rhizopogon",17,73
"Russula_griseascens",17,17
"Tricholoma_triste",17,17
"Tuber_anniae",17,19
"Cortinarius_ferrugineovelatus",16,16
"Inocybe_dulcamara",16,16
"Mycena_amicta",16,16
"Mycena_pura",16,16
"Russula_acrifolia",16,17
"Serpula_himantioides",16,16
"Thelephora_atra",16,16
"Tricholoma_equestre",16,16
"Trichophaea_hybrida",16,33
"Botryobasidium_candicans",15,15
"Cortinarius_brunneus",15,19
"Cortinarius_junghuhnii",15,15
"Cortinarius_vibratilis",15,15
"Galerina_marginata",15,15
"Hebeloma_mesophaeum",15,34
"Inocybe_cincinnata",15,15
"Paecilomyces_penicillatus",15,15
"Russula_roseipes",15,15
"Sebacina_epigaea",15,18
"Suillus_lakei",15,16
"Tomentella_cinerascens",15,15
"Coniophora_arida",14,14
"Cortinarius_alboviolaceus",14,17
"Cortinarius_parvannulatus",14,18
"Cortinarius_vernus",14,16
"Hygrophorus_hypothejus",14,17
"Inocybe_mixtilis",14,14
"Lyophyllum_shimeji",14,14
"Mycena_vulgaris",14,14
"Suillus_flavidus",14,23
"Clavulina",13,40
"Cortinarius_armillatus",13,13
"Cortinarius_dolabratus",13,13
"Cortinarius_hadrocroceus",13,13
"Cortinarius_tillamookensis",13,14
"Hebeloma_asperulatum",13,13
"Inocybe",13,17
"Inocybe_ochroalba",13,14
"Phellodon_tomentosus",13,13
"Piloderma_sphaerosporum",13,65
"Pseudotomentella_umbrina",13,13
"Russula_silvicola",13,13
"Sebacina_dimitica",13,32
